Column_Name,Missing_Count,Missing_Percentage,Total_Records,Complete_Records
Date Of Stop,0,0.0,803889,803889
Time Of Stop,0,0.0,803889,803889
Description,5,0.0,803889,803884
Location,831,0.1,803889,803058
VehicleType,829,0.1,803889,803060
Year,6844,0.85,803889,797045
Make,872,0.11,803889,803017
Model,956,0.12,803889,802933
Color,10939,1.36,803889,792950
Violation Type,829,0.1,803889,803060
Race,829,0.1,803889,803060
Gender,1658,0.21,803889,802231
Price,1658,0.21,803889,802231
TOTAL_DATASET,26250,0.25,803889,777639
