Region,State,Attraction,Description,Food Specialty,Food Description,Best Time to Visit,Notable Events
Northeast,New York,Statue of Liberty,Iconic symbol of freedom,Bagels,Boiled and baked dough rings,Year-round,Fourth of July Celebration
Northeast,Massachusetts,Freedom Trail,Historic 2.5-mile trail,Clam Chowder,Creamy soup with clams and potatoes,Fall,Boston Marathon
Midwest,Illinois,Willis Tower,One of the tallest buildings in the US,Deep-Dish Pizza,Thick crust pizza with layers of toppings,Summer,Taste of Chicago
Midwest,Michigan,The Great Lakes,Largest group of freshwater lakes,Pasties,Pastry filled with meat and vegetables,Winter,Great Lakes Shipwreck Festival
South,Florida,Disney World,Famous theme park and resort,Key Lime Pie,Sweet pie made with Key lime juice,Summer,Disney's Halloween Festival
South,Louisiana,French Quarter,Historic New Orleans neighborhood,Jambalaya,Rice dish with meat and vegetables,Spring,Mardi Gras
West,California,Golden Gate Bridge,Iconic suspension bridge,Sourdough Bread,San Francisco's famous crusty bread,Summer,San Francisco Jazz Festival
West,Hawaii,Hawaii Volcanoes National Park,,Poke,Raw fish salad,Year-round,Aloha Festivals
Southwest,Texas,The Alamo,Historic mission and fortress,Tex-Mex Cuisine,Fusion of Mexican and American cuisines,Spring,San Antonio Fiesta
Southwest,Arizona,Grand Canyon,One of the world's natural wonders,Chimichangas,Deep-fried burritos,Fall,Grand Canyon Music Festival
Pacific Northwest,Washington,Space Needle,Futuristic tower with an observation deck,Salmon,Fresh and smoked fish,Summer,Seattle International Film Festival
Pacific Northwest,Oregon,Crater Lake,Deepest lake in the US,Marionberry Pie,Pie made with local marionberries,Summer,Oregon Shakespeare Festival
Northeast,Pennsylvania,Liberty Bell,Historic symbol of American independence,Philly Cheesesteak,Thinly sliced beef and melted cheese in a long roll,Year-round,Welcome America Festival
Northeast,New Jersey,Atlantic City Boardwalk,Famous boardwalk with casinos and hotels,Salt Water Taffy,"Chewy, sweet taffy candy",Summer,Atlantic City Airshow
Midwest,Ohio,Cedar Point,Amusement park known for its roller coasters,Buckeyes,Confections of peanut butter fudge dipped in chocolate,Fall,Ohio State Fair
Midwest,Wisconsin,Wisconsin Dells,Popular family vacation area known for its water parks,Cheese Curds,Fried or fresh cheese curds,Summer,Wisconsin State Fair
South,North Carolina,Great Smoky Mountains National Park,Popular national park with diverse plant and animal life,Pulled Pork BBQ,Slow-cooked barbecue pork,Summer,Mountain Music Festivals
South,Georgia,Savannah Historic District,Well-preserved historic architecture and cobblestone streets,Peach Cobbler,Sweet cobbler made with fresh Georgia peaches,Spring,Savannah Music Festival
West,Alaska,Denali National Park,Home to North America's highest peak,King Crab,Alaskan king crab legs,Summer,Iditarod Trail Sled Dog Race
West,Nevada,Las Vegas Strip,Famous for its vibrant nightlife and casinos,Buffet,All-you-can-eat buffets with various cuisines,Year-round,Las Vegas New Year's Eve
Southwest,New Mexico,Carlsbad Caverns,Over 100 caves beneath the Chihuahuan Desert,Green Chile Stew,Spicy stew with green chiles and pork,Fall,Albuquerque International Balloon Fiesta
Southwest,Oklahoma,Oklahoma City National Memorial,Museum and memorial honoring the victims of the 1995 bombing,Chicken Fried Steak,Breaded and fried steak with gravy,Spring,Oklahoma State Fair
Northeast,Vermont,Ben & Jerry's Factory,Famous ice cream factory tour,Maple Syrup,Iconic syrup made from Vermont maple trees,Summer,Vermont Maple Festival
Northeast,Rhode Island,The Breakers,Famous Newport mansion from the Gilded Age,Clam Cakes,Deep-fried clam and dough mixture,Summer,Newport Jazz Festival
Midwest,Indiana,,Iconic auto racing circuit,Pork Tenderloin Sandwich,Breaded and fried pork cutlet sandwich,Spring,Indianapolis 500
Midwest,Missouri,Gateway Arch,Iconic monument symbolizing the Westward Expansion,St. Louis-style BBQ,"Grilled, then sauced barbeque ribs",Summer,St. Louis Bluesweek Festival
South,Kentucky,Mammoth Cave National Park,The world's longest cave system,Burgoo,Thick stew made with meat and vegetables,Fall,Kentucky Derby Festival
South,Tennessee,Graceland,Elvis Presley's former home and museum,Memphis BBQ,Slow-cooked pork barbeque,Summer,Memphis in May
West,Colorado,Rocky Mountain National Park,National park known for its mountainous landscapes,Rocky Mountain Oysters,Deep-fried bull testicles,Summer,Frozen Dead Guy Days
West,Utah,Zion National Park,Scenic canyons and hiking trails,Funeral Potatoes,"Casserole made with potatoes, cheese, and soup",Spring,Utah Shakespeare Festival
Southwest,Nevada,Hoover Dam,Engineering marvel on the Colorado River,Shrimp Cocktail,Classic seafood appetizer,Year-round,Las Vegas Electric Daisy Carnival
Southwest,New Mexico,White Sands National Park,Unique white gypsum sand dunes,Blue Corn Enchiladas,Enchiladas made with blue corn tortillas,Spring,Albuquerque International Balloon Fiesta
Pacific Northwest,Idaho,Sun Valley,Famous ski resort and outdoor recreation area,Idaho Potatoes,"Famous potatoes, often baked or mashed",,Trailing of the Sheep Festival
Pacific Northwest,Montana,Glacier National Park,National park known for its glaciers and trails,Huckleberries,Wild berries used in pies and jams,Summer,Montana Huckleberry Festival
Northeast,Connecticut,Mystic Seaport,The Museum of America and the Sea,Lobster Roll,Fresh lobster meat served on a roll,Summer,Mystic Outdoor Art Festival
Northeast,New Hampshire,Mount Washington,The highest peak in the Northeastern United States,Apple Cider Donuts,Donuts made with apple cider,Fall,Keene Pumpkin Festival
Midwest,North Dakota,Theodore Roosevelt National Park,Park known for its rugged landscape and history,Knoephla Soup,Potato and dumpling soup,Fall,United Tribes International Powwow
Midwest,South Dakota,Mount Rushmore,Iconic sculpture of four US presidents,Chislic,"Cubed meat, typically lamb or beef, deep-fried",Summer,Sturgis Motorcycle Rally
South,Alabama,USS Alabama Battleship Memorial Park,Historic WWII battleship,Fried Green Tomatoes,Green tomatoes breaded and fried,Summer,National Shrimp Festival
South,Mississippi,Vicksburg National Military Park,Site of the Civil War Battle of Vicksburg,Catfish,Cornmeal-breaded and fried catfish,Summer,Mississippi Delta Blues and Heritage Festival
West,Oregon,Crater Lake National Park,Famous for its deep blue lake and water clarity,Marionberry Pie,Pie made with local marionberries,Summer,Oregon Shakespeare Festival
West,Washington,Mount Rainier National Park,Iconic volcano and the highest peak in Washington,Salmon,Fresh and smoked fish,Summer,Seattle International Film Festival
Northeast,New York,Statue of Liberty,Iconic symbol of freedom,,Boiled and baked dough rings,Year-round,Fourth of July Celebration
Northeast,,Freedom Trail,Historic 2.5-mile trail,Clam Chowder,Creamy soup with clams and potatoes,Fall,Boston Marathon
Midwest,Illinois,Willis Tower,,Deep-Dish Pizza,Thick crust pizza with layers of toppings,Summer,Taste of Chicago
Midwest,Michigan,The Great Lakes,Largest group of freshwater lakes,Pasties,Pastry filled with meat and vegetables,,Great Lakes Shipwreck Festival
South,Florida,Disney World,Famous theme park and resort,Key Lime Pie,Sweet pie made with Key lime juice,Summer,,
South,Louisiana,French Quarter,Historic New Orleans neighborhood,Jambalaya,,Spring,Mardi Gras
West,California,Golden Gate Bridge,Iconic suspension bridge,Sourdough Bread,San Francisco's famous crusty bread,Summer,San Francisco Jazz Festival
West,Hawaii,Hawaii Volcanoes National Park,,Poke,Raw fish salad,Year-round,Aloha Festivals
Southwest,Texas,The Alamo,Historic mission and fortress,Tex-Mex Cuisine,Fusion of Mexican and American cuisines,,San Antonio Fiesta
Southwest,Arizona,Grand Canyon,One of the world's natural wonders,Chimichangas,Deep-fried burritos,Fall,Grand Canyon Music Festival
