0,1,2,3,4,5
,? Summer,01 !,02 !,03 !,Total
Afghanistan (AFG),13,0,0,2,2
Algeria (ALG),12,5,2,8,15
Argentina (ARG),23,18,24,28,70
Armenia (ARM),5,1,2,9,12
Australasia (ANZ) [ANZ],2,3,4,5,12
Australia (AUS) [AUS] [Z],25,139,152,177,468
Austria (AUT),26,18,33,35,86
Azerbaijan (AZE),5,6,5,15,26
Bahamas (BAH),15,5,2,5,12
Bahrain (BRN),8,0,0,1,1
Barbados (BAR) [BAR],11,0,0,1,1
Belarus (BLR),5,12,24,39,75
Belgium (BEL),25,37,52,53,142
Bermuda (BER),17,0,0,1,1
Bohemia (BOH) [BOH] [Z],3,0,1,3,4
Botswana (BOT),9,0,1,0,1
Brazil (BRA),21,23,30,55,108
British West Indies (BWI) [BWI],1,0,0,2,2
Bulgaria (BUL) [H],19,51,85,78,214
Burundi (BDI),5,1,0,0,1
Cameroon (CMR),13,3,1,1,5
Canada (CAN),25,59,99,121,279
Chile (CHI) [I],22,2,7,4,13
China (CHN) [CHN],9,201,146,126,473
Colombia (COL),18,2,6,11,19
Costa Rica (CRC),14,1,1,2,4
Ivory Coast (CIV) [CIV],12,0,1,0,1
Croatia (CRO),6,6,7,10,23
Cuba (CUB) [Z],19,72,67,70,209
Cyprus (CYP),9,0,1,0,1
Czech Republic (CZE) [CZE],5,14,15,15,44
Czechoslovakia (TCH) [TCH],16,49,49,45,143
Denmark (DEN) [Z],26,43,68,68,179
Djibouti (DJI) [B],7,0,0,1,1
Dominican Republic (DOM),13,3,2,1,6
Ecuador (ECU),13,1,1,0,2
Egypt (EGY) [EGY] [Z],21,7,9,10,26
Eritrea (ERI),4,0,0,1,1
Estonia (EST),11,9,9,15,33
Ethiopia (ETH),12,21,7,17,45
Finland (FIN),24,101,84,117,302
France (FRA) [O] [P] [Z],27,202,223,246,671
Gabon (GAB),9,0,1,0,1
Georgia (GEO),5,6,5,14,25
Germany (GER) [GER] [Z],15,174,182,217,573
United Team of Germany (EUA) [EUA],3,28,54,36,118
East Germany (GDR) [GDR],5,153,129,127,409
West Germany (FRG) [FRG],5,56,67,81,204
Ghana (GHA) [GHA],13,0,1,3,4
Great Britain (GBR) [GBR] [Z],27,236,272,272,780
Greece (GRE) [Z],27,30,42,39,111
Grenada (GRN),8,1,0,0,1
Guatemala (GUA),13,0,1,0,1
Guyana (GUY) [GUY],16,0,0,1,1
Haiti (HAI) [J],14,0,1,1,2
Hong Kong (HKG) [HKG],15,1,1,1,3
Hungary (HUN),25,167,144,165,476
Iceland (ISL),19,0,2,2,4
India (IND) [F],23,9,6,11,26
Indonesia (INA),14,6,10,11,27
Iran (IRI) [K],15,15,20,25,60
Iraq (IRQ),13,0,0,1,1
Ireland (IRL),20,9,8,12,29
Israel (ISR),15,1,1,5,7
Italy (ITA) [M] [S],26,198,166,185,549
Jamaica (JAM) [JAM],16,17,30,20,67
